lang	subno	sex	age	typing_ability	typing_method	typing_gaze
IS	IS065	2	23	5	5	4
IS	IS066	1	22	3	7	3
IS	IS067	2	60	5	6	4
IS	IS068	2	31	5	4	5
IS	IS069	2	33	4	6	1
IS	IS070	2	24	2	7	5
IS	IS071	1	34	2	6	3
IS	IS072	1	28	2	6	1
IS	IS073	2	31	2	6	3
IS	IS074	2	34	5	6	3
IS	IS075	1	29	1	6	3
IS	IS076	2	30	4	6	5
IS	IS077	2	60	5	7	4
IS	IS078	1	29	3	6	1
IS	IS079	1	29	5	6	3
IS	IS080	2	31	3	7	3
IS	IS081	1	54	4	6	3
IT	IT001	2	31	4	7	5
IT	IT002	2	25	5	4	3
IT	IT003	1	26	2	4	3
IT	IT004	1	26	4	6	4
IT	IT005	2	23	3	4	4
IT	IT006	2	23	2	6	4
IT	IT007	2	25	4	4	5
IT	IT008	2	25	3	4	4
IT	IT009	2	23	3	6	5
IT	IT010	2	39	5	1	5
IT	IT011	2	24	3	6	5
IT	IT012	2	25	3	4	4
IT	IT013	2	24	5	6	3
IT	IT014	2	23	3	6	5
IT	IT015	2	20	2	6	3
IT	IT016	2	27	4	4	5
IT	IT017	2	25	4	4	4
IT	IT018	2	24	5	4	5
IT	IT019	2	28	2	6	5
IT	IT020	2	24	5	4	4
IT	IT021	2	29	3	6	3
IT	IT022	1	24	4	4	5
IT	IT023	1	24	4	5	3
IT	IT024	2	27	2	4	3
IT	IT025	2	30	4	4	3
IT	IT026	2	24	4	7	3
IT	IT027	1	24	4	4	3
IT	IT028	2	24	5	4	5
IT	IT029	2	27	4	4	5
IT	IT030	2	28	4	4	4
IT	IT031	1	25	3	6	5
IT	IT032	2	26	6	6	5
IT	IT033	1	28	3	7	4
IT	IT034	2	21	2	6	5
IT	IT035	2	30	4	4	3
IT	IT036	1	40	6	3	5
IT	IT037	1	25	4	4	5
IT	IT038	2	29	4	6	3
IT	IT039	2	23	6	4	4
IT	IT040	1	22	2	6	3
IT	IT041	2	28	1	4	5
IT	IT042	2	23	2	6	5
IT	IT043	1	23	4	4	4
IT	IT044	2	27	5	4	4
IT	IT045	2	22	4	4	3
IT	IT046	1	26	5	6	3
IT	IT047	2	23	2	4	4
IT	IT048	2	22	6	4	4
IT	IT049	1	31	2	4	5
IT	IT050	2	24	4	4	3
IT	IT051	2	28	2	6	5
IT	IT052	2	28	4	6	4
IT	IT053	1	28	2	4	3
IT	IT054	2	27	3	4	4
IT	IT055	2	27	6	4	5
IT	IT056	2	27	3	4	4
IT	IT057	2	22	4	4	4
IT	IT058	2	23	5	6	5
IT	IT059	2	23	4	4	3
IT	IT060	2	21	3	6	4
IT	IT061	1	23	1	6	3
IT	IT062	1	23	1	6	1
IT	IT063	1	24	4	4	4
IT	IT064	1	24	2	7	4
IT	IT065	2	22	4	4	4
IT	IT066	2	20	4	4	4
IT	IT067	2	20	3	3	5
IT	IT068	2	20	5	3	4
IT	IT069	2	21	5	6	3
IT	IT070	2	19	2	6	3
IT	IT071	1	20	1	6	3
IT	IT072	2	25	3	6	4
IT	IT073	2	26	5	3	3
IT	IT074	2	23	4	4	5
IT	IT075	2	25	4	3	5
IT	IT076	2	25	4	3	2
IT	IT077	2	20	6	6	5
IT	IT078	2	20	4	4	4
IT	IT079	1	20	4	6	5
IT	IT080	2	20	4	6	5
IT	IT081	2	19	3	2	5
IT	IT082	2	25	1	4	5
NO	NO001	1	24	3	6	5
NO	NO002	2	24	3	6	3
NO	NO003	1	53	2	6	5
