,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,,,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,,
Item,Base,Auditory Image,Visual Image,Metaphor,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,#content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,,,,Item,Literal,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,# content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,
NMA51,snigger,3.21,2.37,The book was a sexist snigger.,0.00,1336,1.00,3.85,4.60,3.30,5.70,30,6,3,64,60,416,,,,193,176.98,609,0,1.75,240,0,0.02,400,,,,,NLA51,Her immediate remark was a snigger.,0.00,1444,n/a,5.06,4.94,4.50,2.15,35,6,3,37,5,351,81,11.2,285,31,4.39,368,,,,0,0.02,400,,
NMA52,snore,4.45,2.90,The reception was a real snore.,0.06,1342,1.00,5.80,6.05,5.45,5.90,31,6,3,102,152,370,,,,38,11.14,425,269,442.8,285,0,1.61,400,,,,,NLA52,The funny thing was his snore.,0.29,1558,n/a,5.78,5.50,4.83,2.05,30,6,3,125,436,358,41,218.18,323,333,1088.67,350,,,,0,1.61,400,,
NMA53,snort,4.15,2.80,Her limousine was a privileged snort.,0.06,1734,0.89,2.29,3.22,4.89,5.89,37,6,3,8,2,244,,,,4,2.82,62,18,3.37,245,3,1.16,424,,,,,NLA53,His comeback was a haughty snort.,0.12,1352,n/a,4.90,5.05,4.10,3.05,33,6,3,2,2,302,,,,2,3.33,265,2,0.41,218,3,1.16,424,,
NMA54,sob,4.05,3.10,Her marriage was a long sob.,0.00,1261,1.00,4.15,4.65,4.05,5.20,28,6,3,283,251,401,,,,95,77.06,398,755,675.16,381,0,1.51,425,,,,,NLA54,The sound was her bitter sob.,0.00,1270,n/a,6.00,6.39,4.56,2.25,29,6,3,86,52,445,,,,204,143.39,502,53,11.41,409,0,1.51,425,,
NMA55,squawk,4.30,2.65,The banner was a patriotic squawk.,0.24,1961,1.00,3.06,4.33,4.00,5.50,34,6,3,6,3,432,,,,8,5.92,567,10,2.35,210,1,1.71,520,,,,,NLA55,The chicken call was a squawk.,0.00,1248,n/a,5.25,5.85,5.30,1.55,30,6,3,75,308,508,37,61.73,614,188,861.39,389,,,,1,1.71,520,,
NMA56,squeal,4.20,2.35,The bill was a corrupt squeal.,0.06,1434,0.74,2.60,3.55,2.40,5.85,30,6,3,51,42,433,,,,143,118.45,528,8,5.31,260,1,2.67,510,,,,,NLA56,The pig's protest was a squeal.,0.06,1317,n/a,5.94,6.33,5.67,2.00,31,6,3,11,17,488,8,39.14,614,23,8.78,339,,,,1,2.67,510,,
NMA57,stammer,3.65,1.95,The demo tape was a shy stammer.,0.00,1464,1.00,3.11,3.28,3.44,4.78,32,7,4,12,23,420,0,3.29,350,35,68.84,564,13,18.37,330,0,0.27,435,,,,,NLA57,The pupil's question was a meek stammer.,0.06,1516,n/a,4.78,5.56,4.44,2.90,40,7,4,72,51,422,20,3.14,566,257,198.35,387,10,1.73,299,0,0.27,435,,
NMA58,stutter,3.40,2.05,Their courtship was a bashful stutter.,0.21,1627,1.00,3.28,3.17,3.00,5.44,38,6,3,1,1,395,,,,2,1.16,346,2,1.24,340,0,1.88,500,,,,,NLA58,The speech impediment was a stutter.,0.00,1263,n/a,6.70,6.30,4.75,1.35,36,6,3,21,14,437,61,38.04,453,1,0.59,358,,,,0,1.88,500,,
NMA59,twitter,2.60,2.05,Her shirt was a cheerful twitter.,0.81,1419,0.89,2.17,3.22,3.28,5.61,33,6,3,12,17,461,,,,27,46.37,616,10,3.73,362,0,0.16,405,,,,,NLA59,The chatter was a nervous twitter.,0.00,1370,n/a,5.22,5.00,4.72,3.65,34,6,3,10,24,423,,,,7,4.67,525,24,67.16,338,0,0.16,405,,
NMA60,voice,3.40,1.74,The coast was a beckoning voice.,0.31,1492,0.95,3.25,4.05,4.30,6.40,32,6,3,96,38,481,,,,61,26.69,562,1,0.31,395,226,86.16,485,,,,,NLA60,The hallucination was a ghostly voice.,0.06,1412,n/a,4.65,5.15,4.65,2.50,38,6,3,79,30,373,,,,0,1.78,256,11,0.98,379,226,86.16,485,,
