unigram	unigram_freq
hoort	13
waarde	13
wolwe	13
weduwee	13
neef	13
bloubaard	13
den	13
onlangs	13
voorsitter	13
getuie	13
gesoen	13
25	13
begeer	13
skepe	13
verbode	13
broers	13
omring	13
skenk	13
abbs	13
rijn	13
suid	13
kat	13
ludovika	13
olie	13
fotos	13
optrede	13
bruid	13
georges	13
skooltoe	13
drome	13
rudolstadt	13
moeilike	13
sneeu	13
treurige	13
ongelooflik	13
fuhrmann	13
europa	13
ammunisie	13
tjello	13
portret	13
kindjie	13
onderbreek	13
akteurs	13
baklei	13
stroom	13
laas	13
opgehou	13
toesig	13
juffrou	13
volkome	13
verpletter	13
blameer	13
kroon	13
leen	13
spot	13
bouwerk	13
500	13
afgelope	13
bad	13
gekyk	13
must	13
14	13
sterker	13
philinte	13
identiteit	13
finaal	13
onreg	13
gelê	13
sover	13
jul	13
kode	12
redelik	12
duisend	12
amnestie	12
paulus	12
skuif	12
eenheid	12
verloop	12
francesca	12
drankie	12
sekuriteit	12
sop	12
namens	12
aksie	12
nat	12
saamneem	12
jood	12
bedreig	12
gehuur	12
wilde	12
dokumente	12
amerikaanse	12
tenks	12
kavalier	12
all	12
bevelvoerder	12
bewus	12
agt	12
halwe	12
boutin	12
heerlike	12
jonger	12
waarskuwing	12
spanje	12
shall	12
gogh	12
donderdag	12
politieke	12
onregverdig	12
verlig	12
versorg	12
verberg	12
lëer	12
lieflik	12
baan	12
wysheid	12
netso	12
ligte	12
vereis	12
kontrak	12
gely	12
goedkoop	12
skoolhoof	12
stoot	12
swaard	12
verower	12
baltimore	12
geheue	12
oorkant	12
onsself	12
gemeen	12
snags	12
optree	12
no	12
beroemde	12
telegrafeer	12
eerbare	12
spook	12
5000	12
uithaal	12
vereer	12
môreoggend	12
bokant	12
weissen	12
claire	12
navorsing	12
voltooi	12
daardeur	12
eiland	12
noorde	12
koninkryk	12
geantwoord	12
san	12
dek	12
vergelyk	12
bekommer	12
gesing	12
plaag	12
vaarwel	12
aangesig	12
eenvoudige	12
gauthier	12
skepper	12
onderweg	12
daad	12
wolf	12
mei	12
dierbaar	12
verniet	12
kas	12
getuienis	12
gestaan	12
daarteen	12
fiets	12
beskikbaar	12
wors	12
digter	12
iewers	12
basis	12
beïndruk	12
verband	12
gedroom	12
sout	12
kleremaker	12
knieë	12
kursus	12
eed	12
italië	12
samelewing	12
witek	12
oranje	12
goeiemôre	12
your	12
eksellensie	12
onderoffisier	12
palmer	12
plekke	12
vooruit	12
veld	12
ontbyt	12
oplossing	12
beloning	12
kok	12
aandoen	12
verdwaal	12
skaak	12
18	12
taia	12
ouer	12
boer	12
verandering	12
dring	12
pers	12
kleur	12
voorspoed	12
haas	12
harder	12
byvoorbeeld	11
streke	11
stand	11
r	11
hopeloos	11
boom	11
tronktoe	11
paaie	11
inneem	11
gevlug	11
klip	11
