Means and Standard Deviations for the Six Emotions														
														
Description	IAPS #	N	Happiness		Surprise		Sadness		Anger		Disgust		Fear	
			M	SD	M	SD	M	SD	M	SD	M	SD	M	SD
smoking 	2749	38	3.07	2.27	1.92	1.26	1.87	1.51	1.47	1.08	1.5	1.18	1.71	1.51
bum     	2750	26	1.27	1	3.31	2.38	6.08	2.23	4.69	2.94	5.5	2.77	2.35	2.12
drunkdri	2751	41	1.17	0.5	4.27	2.43	6.95	2.16	8.05	1.18	7.88	1.74	6.93	2.22
alcoholi	2752	25	1.96	1.9	2.24	1.36	5.04	2.62	4.28	2.67	4.52	2.73	3.12	2.59
alcoholi	2753	48	2.17	1.95	2.4	1.88	3.62	2.58	3.34	2.49	3.48	2.73	1.96	1.65
balloons	2791	32	6.19	1.97	3.5	2.06	1.34	0.75	1.09	0.39	1.03	0.18	1.31	1.12
sad chil	2800	25	1.04	0.2	3.83	2.39	7.63	1.66	5.17	2.82	4.5	3.15	2.96	2.42
boy     	2810	27	1.74	1.43	3.52	2.33	4.15	2.4	4.26	2.74	3.19	2.47	2.96	2.23
woman   	2830	40	2.64	2.08	3.28	2.15	3.4	2.34	2.11	1.78	1.92	1.73	2.42	1.98
chess   	2840	26	2.42	1.81	2.19	1.58	3.54	2.7	1.96	1.59	2.12	1.7	1.42	1.1
tourist 	2850	26	3.04	2.52	2.58	2.27	1.65	1.55	1.62	1.55	1.85	2.11	1.58	1.7
teenager	2870	25	3.8	2.71	1.8	1.44	1.12	0.33	1.04	0.2	1.04	0.2	1.08	0.4
shadow  	2880	25	2.72	1.81	1.84	1.34	1.2	0.58	1.04	0.2	1.04	0.2	1.08	0.4
twins   	2890	29	2	1.54	2.07	1.77	1.9	1.8	1.62	1.76	1.52	1.12	1.79	1.54
cryinboy	2900	52	1.29	0.85	2.94	1.85	6.35	2.35	3.85	2.79	3.25	2.79	2.81	2.61
cryboy  	2900	41	1.25	0.7	3.93	2.1	7.32	1.86	4.37	2.91	3.24	2.55	3.05	2.43
mutilati	3000	41	1	0	6.98	2.51	7.1	2.05	5.8	2.99	7.07	2.38	5.73	2.83
mutilati	3010	40	1.15	0.58	6.28	2.17	6.73	2.63	5.78	2.98	7.28	2.35	4.53	2.88
accident	3015	41	1.73	1.68	4.33	3.03	4.33	3.46	3.6	3.12	4.55	3.62	2.75	2.59
scream  	3022	50	2.26	1.75	4.71	2.2	2.94	2.19	2.33	2.06	2.34	1.94	3.53	2.35
mutilati	3030	25	1.28	0.84	4.88	1.72	5.48	2.84	3.76	2.8	6.56	2.18	3.52	2.63
mutilati	3051	41	2.8	1.5	1.15	0.8	5.66	2.41	7.25	1.74	5.07	2.61	6.98	2.36
burnvict	3053	27	1.3	1.54	7.56	1.76	7.52	2.26	6.67	2.48	7.63	1.88	5.81	2.87
mutilati	3060	26	1.08	0.28	6.08	2.36	6.52	1.98	4.48	2.68	6.48	2.6	3.48	2.55
mutilati	3061	25	1.64	1.73	5.88	2.13	6.08	1.93	5.12	2.6	6.48	2.43	4.24	2.68
mutilati	3062	25	1.21	1.02	7	2.04	6	3.2	4.38	3.15	7.67	2.37	5.38	2.78
mutilati	3063	25	1.13	0.61	7.4	2.12	6.75	2.49	6.38	2.57	7.63	2.18	5.76	2.99
mutilati	3064	40	1.35	1.35	6.85	1.97	7.88	1.7	6.83	2.72	7.48	2.33	6	2.86
mutilati	3071	25	1	0	6.75	2.19	6.16	2.36	4.88	2.91	7.2	2.65	5	3.24
mutilati	3080	25	1.28	1.4	6.76	2.73	7.44	2.29	4.58	2.99	6.56	2.84	4.08	2.8
burnvict	3100	25	1.12	0.6	5.88	2.35	6.08	2.5	4	3.01	5.96	2.84	4.29	3.04
burnvict	3102	25	1.09	0.29	5.32	2.81	6.4	2.52	5.24	2.82	7	2.33	5.12	2.98
burnvict	3110	38	1.42	1.72	5.82	2.77	7.05	2.29	4.82	2.95	6.76	2.71	4.61	2.94
deadbody	3120	40	1.35	1.67	5.85	2.62	7.4	1.85	6	2.87	7.28	2.32	4.8	2.53
mutilati	3130	26	1.31	1.23	5	2.25	6	2.42	4.15	2.68	6.54	2.39	4.69	3.06
deadboy 	3140	26	1.08	0.27	5.27	2.78	5.69	2.85	3.81	2.91	6.27	2.76	3.5	2.6
mutilate	3150	25	1.24	1.2	6.64	2.63	5.68	2.15	2.75	2.31	7	1.8	3.79	2.5
eyedisea	3160	25	1.5	0.98	4.32	2.15	6.28	2.88	3.56	2.92	5.44	2.76	3.8	3.12
mutilati	3168	25	1.13	0.61	6.88	2.59	7.32	1.77	4.48	2.95	7.48	2.54	5.44	2.83
btumor  	3170	41	1.05	0.32	7.07	1.95	7.78	1.9	4.66	2.72	6.1	2.71	4.18	3.05
battefem	3180	40	1	0.23	4.45	2.23	7.05	2.31	7.15	2.15	6.7	2.63	3.88	2.46
batfemal	3181	25	1.04	0.2	5.32	2.34	6.76	2.35	6.44	2.99	6.88	2.65	3.84	2.64
scar    	3190	25	1.65	1.3	5.1	2.36	2.57	1.9	1.57	1.24	4.7	2.91	1.95	1.86
surgery 	3210	29	2.07	1.56	3.03	2.01	3.21	2.23	1.9	1.57	3.59	2.53	3.21	2.24
hospital	3220	41	1.56	1.03	4.12	2.24	6.71	2.08	4.08	2.54	3.58	2.4	3.5	2.55
dyingman	3230	39	1.05	0.22	3.03	2.32	6.97	2.37	3.62	2.48	3.13	2.59	4.08	2.53
openches	3250	26	1.69	1.72	5.34	2.23	4.08	2.54	2.38	1.9	5.88	2.9	2.42	2.04
tumor   	3261	43	1.19	0.98	5.3	2.37	7	1.99	6.07	2.62	4.28	2.78	5.44	2.76
injury  	3266	25	1.72	1.31	1.76	1.13	3.32	2.27	2.88	2.17	4.16	2.72	3.08	2.53
dentalex	3280	41	2.26	2.11	2.3	1.99	2.88	2.41	2	1.75	2.43	2.16	3.15	2.72
disachil	3300	38	2.11	1.97	3.18	1.94	6.29	2.39	3.58	2.1	2.79	2.32	2.58	2.26
injchild	3301	26	1	0	5	2.15	6.85	2.36	4.38	2.55	5.77	2.92	3.85	2.66
infant  	3350	25	1.88	1.45	5.68	1.86	7	2.08	4.92	3	4.5	3.12	4.13	3.13
severedh	3400	50	1.25	1.28	6.96	2.34	5.62	2.73	3.4	2.89	7.31	2.24	4.19	2.84
attack  	3500	26	1.65	1.79	4.35	2.77	4.69	2.63	5.42	2.77	5	2.86	5.08	3.22
attack  	3530	40	1.51	1.6	5.49	2.55	6.08	2.41	6.31	2.4	5.79	2.7	6.36	2.47
injury  	3550	29	1.24	0.69	4.48	2.29	4.66	3.1	3.97	2.88	5.72	2.71	4.07	3.04
