norm,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,var,language,dim,window,alg,family
imagine_mean,0.7060807344810476,0.4985500036052956,0.7629877184129706,0.8734916819369093,Clarke2024.csv,norms,False,,th,200,3,sg,fasttext
body_object_interaction_mean,0.25290816829020035,0.06396254158790429,0.13321999555891323,0.36499314453687104,Clarke2024.csv,norms,False,,th,200,3,sg,fasttext
aoa_mean,0.04266322482279178,0.0018201507522800763,0.0027788223863693395,0.052714536765197315,Clarke2024.csv,norms,False,,th,200,3,sg,fasttext
,0.0949233376219261,0.009010440025286172,0.01941436630886667,0.1393354452709958,th.subs.2018.tsv,counts,False,unigram_freq,th,200,3,sg,fasttext
,0.09026384157554172,0.008147561095974493,0.02308521386864537,0.15193819094831085,th.wiki.2018.tsv,counts,False,unigram_freq,th,200,3,sg,fasttext
imagine_mean,0.7410535286900609,0.549160332383991,0.8404424551570081,0.9167564862912114,Clarke2024.csv,norms,True,,th,200,3,sg,fasttext
body_object_interaction_mean,0.4689154904355563,0.21988173717041828,0.45796560490130167,0.6767315604442441,Clarke2024.csv,norms,True,,th,200,3,sg,fasttext
aoa_mean,0.46365918101270504,0.21497983613737237,0.32820950711263885,0.5728957209760245,Clarke2024.csv,norms,True,,th,200,3,sg,fasttext
,0.13366858472028437,0.01786729054112384,0.03849780061116492,0.19620856406172724,th.subs.2018.tsv,counts,True,unigram_freq,th,200,3,sg,fasttext
,0.12073206082382829,0.014576230510768572,0.04130013813655481,0.2032243541915063,th.wiki.2018.tsv,counts,True,unigram_freq,th,200,3,sg,fasttext
imagine_mean,0.6811876031385742,0.4640165506696757,0.7101372515114988,0.8426964171702042,Clarke2024.csv,norms,False,,th,200,3,sg,word2vec
body_object_interaction_mean,0.15238068369941762,0.023219872764701964,0.048361920427144156,0.21991343848692865,Clarke2024.csv,norms,False,,th,200,3,sg,word2vec
aoa_mean,0.0,-0.0038527240733543778,-0.005881950102281319,0.0,Clarke2024.csv,norms,False,,th,200,3,sg,word2vec
,0.07752220825705253,0.006009692773049823,0.012948799012291567,0.11379278980801713,th.subs.2018.tsv,counts,False,unigram_freq,th,200,3,sg,word2vec
,0.09170774568549861,0.008410310618716088,0.0238296856013423,0.15436866780970257,th.wiki.2018.tsv,counts,False,unigram_freq,th,200,3,sg,word2vec
imagine_mean,0.737913448894447,0.5445162580592977,0.8333351005335723,0.9128718971101982,Clarke2024.csv,norms,True,,th,200,3,sg,word2vec
body_object_interaction_mean,0.4629235723593494,0.21429823384594177,0.44633638771224293,0.6680841172429135,Clarke2024.csv,norms,True,,th,200,3,sg,word2vec
aoa_mean,0.47227897911903954,0.22304743411772218,0.3405263011166195,0.5835463144572327,Clarke2024.csv,norms,True,,th,200,3,sg,word2vec
,0.11074199041649005,0.012263788441405974,0.02642420131178208,0.1625552254213382,th.subs.2018.tsv,counts,True,unigram_freq,th,200,3,sg,word2vec
,0.11876129343242581,0.014104244817742745,0.039962818840867,0.19990702549151942,th.wiki.2018.tsv,counts,True,unigram_freq,th,200,3,sg,word2vec
imagine_mean,0.0,-0.024559747956263357,-0.03758657290630085,0.0,Clarke2024.csv,norms,False,,th,300,4,cbow,fasttext
body_object_interaction_mean,0.0,-0.615184746223212,-1.2812953820344382,0.0,Clarke2024.csv,norms,False,,th,300,4,cbow,fasttext
aoa_mean,0.0,-1.0829242264953476,-1.6532993652077028,0.0,Clarke2024.csv,norms,False,,th,300,4,cbow,fasttext
,0.1589423170070438,0.02526266013556761,0.05443225152511194,0.23330720418605153,th.subs.2018.tsv,counts,False,unigram_freq,th,300,4,cbow,fasttext
,0.09875661528817123,0.009752869063175854,0.027633676569488896,0.1662338009235453,th.wiki.2018.tsv,counts,False,unigram_freq,th,300,4,cbow,fasttext
imagine_mean,0.7375560205104702,0.5439888833912412,0.8325279991559384,0.9124297228586641,Clarke2024.csv,norms,True,,th,300,4,cbow,fasttext
body_object_interaction_mean,0.47007687625207345,0.2209722695869072,0.4602369455965716,0.6784076544354225,Clarke2024.csv,norms,True,,th,300,4,cbow,fasttext
aoa_mean,0.49588233406591925,0.24589928923866392,0.37541420614349413,0.612710540258199,Clarke2024.csv,norms,True,,th,300,4,cbow,fasttext
,0.12266481937120652,0.015046657911370722,0.03242031771986409,0.1800564292655613,th.subs.2018.tsv,counts,True,unigram_freq,th,300,4,cbow,fasttext
,0.08121011191034962,0.006595082276491509,0.018686436719000665,0.13669834204920214,th.wiki.2018.tsv,counts,True,unigram_freq,th,300,4,cbow,fasttext
imagine_mean,0.0,-0.13667772253910251,-0.20917344884938072,0.0,Clarke2024.csv,norms,False,,th,300,4,cbow,word2vec
