norm,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,var,language,dim,window,alg,family
aoa_mean_hebrew,0.0,-0.0461828483088728,-0.575361318514707,0.0,Luniewska2016.csv,norms,False,,he,500,6,cbow,fasttext
,0.04759261831022935,0.002265057317623178,0.007225198811041056,0.08500116946866705,he.subs.2018.tsv,counts,False,unigram_freq,he,500,6,cbow,fasttext
,0.0,-0.0004920423792499715,-0.001394481583944951,0.0,he.wiki.2018.tsv,counts,False,unigram_freq,he,500,6,cbow,fasttext
aoa_mean_hebrew,0.0,-0.015194205960504002,-0.189294482591279,0.0,Luniewska2016.csv,norms,True,,he,500,6,cbow,fasttext
,0.035070223380472984,0.001229920567956274,0.0039232652331277484,0.06263597395369333,he.subs.2018.tsv,counts,True,unigram_freq,he,500,6,cbow,fasttext
,0.03922498893643449,0.0015385997570634077,0.004360496405934777,0.06603405489544602,he.wiki.2018.tsv,counts,True,unigram_freq,he,500,6,cbow,fasttext
aoa_mean_hebrew,0.0,-0.10991278920591292,-1.3693301655236652,0.0,Luniewska2016.csv,norms,False,,he,500,6,cbow,word2vec
,0.07173954100387214,0.005146561743446252,0.016416772988648687,0.12812795553136982,he.subs.2018.tsv,counts,False,unigram_freq,he,500,6,cbow,word2vec
,0.08666123211023859,0.007510169150864647,0.021284330404946206,0.14589150216837923,he.wiki.2018.tsv,counts,False,unigram_freq,he,500,6,cbow,word2vec
aoa_mean_hebrew,0.0,-0.02351943753928523,-0.2930129926769285,0.0,Luniewska2016.csv,norms,True,,he,500,6,cbow,word2vec
,0.038988501352554515,0.0015201032377181454,0.004848905155895034,0.06963408041968411,he.subs.2018.tsv,counts,True,unigram_freq,he,500,6,cbow,word2vec
,0.031506479561912645,0.000992658254385219,0.002813261038614512,0.053040183244541225,he.wiki.2018.tsv,counts,True,unigram_freq,he,500,6,cbow,word2vec
aoa_mean_hebrew,0.0,-0.008427548931839076,-0.10499321377582849,0.0,Luniewska2016.csv,norms,False,,he,500,6,sg,fasttext
,0.03491608923143482,0.0012191332872175185,0.003888855398391289,0.06236068792429481,he.subs.2018.tsv,counts,False,unigram_freq,he,500,6,sg,fasttext
,0.06271349461481235,0.003932982406802098,0.011146339761678836,0.10557622725632336,he.wiki.2018.tsv,counts,False,unigram_freq,he,500,6,sg,fasttext
aoa_mean_hebrew,0.0,-0.012922777301981919,-0.16099626722052474,0.0,Luniewska2016.csv,norms,True,,he,500,6,sg,fasttext
,0.04885451840638567,0.002386763968719876,0.007613425079735392,0.08725494301032688,he.subs.2018.tsv,counts,True,unigram_freq,he,500,6,sg,fasttext
,0.06820107933012023,0.0046513872217933535,0.013182347891404878,0.11481440628860508,he.wiki.2018.tsv,counts,True,unigram_freq,he,500,6,sg,fasttext
aoa_mean_hebrew,0.0,-0.037767457785184734,-0.47051957824042645,0.0,Luniewska2016.csv,norms,False,,he,500,6,sg,word2vec
,0.03446666013633078,0.0011879506609533336,0.0037893874191679,0.061558000448096915,he.subs.2018.tsv,counts,False,unigram_freq,he,500,6,sg,word2vec
,0.07949978395255983,0.006320215648503689,0.017911921208562442,0.13383542583547317,he.wiki.2018.tsv,counts,False,unigram_freq,he,500,6,sg,word2vec
aoa_mean_hebrew,0.0,-0.022612109189500372,-0.28170919365252545,0.0,Luniewska2016.csv,norms,True,,he,500,6,sg,word2vec
,0.051369156730383496,0.002638790263190704,0.00841735179231523,0.09174612685184716,he.subs.2018.tsv,counts,True,unigram_freq,he,500,6,sg,word2vec
,0.08006292872361001,0.006410072555801856,0.01816658179818187,0.1347834626286989,he.wiki.2018.tsv,counts,True,unigram_freq,he,500,6,sg,word2vec
