"","var","adjusted_r","adjusted_r_squared","r_squared","r","language","dim","window","algo","dataset"
"202","image_agree_M",0,-0.045929425105868,-0.131817450053841,0,"ar",300,3,"cbow","Khwaileh2018.csv"
"203","aoa_M",0.182009016881267,0.0331272822260852,0.0950752999888644,0.308342828664564,"ar",300,3,"cbow","Khwaileh2018.csv"
"204","imagine_M",0.221520793555031,0.0490714619772506,0.140835095874709,0.375280023282227,"ar",300,3,"cbow","Khwaileh2018.csv"
"205","familiar_M",0.09886790117345,0.00977486188244308,0.0280538536026116,0.167492846422203,"ar",300,3,"cbow","Khwaileh2018.csv"
"206","visual_complex_M",0.0390320311892648,0.00152349945875974,0.00437244344664045,0.0661244542256528,"ar",300,3,"sg","Khwaileh2018.csv"
"207","image_agree_M",0,-0.0560313188930155,-0.160809885222955,0,"ar",300,3,"sg","Khwaileh2018.csv"
"208","aoa_M",0.288719951451104,0.0833592103659276,0.239240933750212,0.489122616273478,"ar",300,3,"sg","Khwaileh2018.csv"
"209","imagine_M",0.349347051647005,0.122043362494455,0.350264450359087,0.591831437454185,"ar",300,3,"sg","Khwaileh2018.csv"
"210","familiar_M",0.120075384359775,0.0144180979291477,0.0413799410566539,0.203420601357517,"ar",300,3,"sg","Khwaileh2018.csv"
"211","visual_complex_M",0,-0.00668182443854637,-0.0191768361386281,0,"ar",300,4,"cbow","Khwaileh2018.csv"
"212","image_agree_M",0,-0.0413076080857249,-0.118552835206031,0,"ar",300,4,"cbow","Khwaileh2018.csv"
"213","aoa_M",0.0806947283350524,0.00651163918106791,0.0186884044496649,0.136705539206226,"ar",300,4,"cbow","Khwaileh2018.csv"
"214","imagine_M",0.246066876971988,0.0605489079427475,0.173775365795685,0.416863725689445,"ar",300,4,"cbow","Khwaileh2018.csv"
