Portuguese name	English translation	AoA	AoASd	Syl	Let	Fam	Wwf	LogWwf	Conc	Imag
Escritório	office	3,48	1,25	4	10	2,10	662	2,82	5,82	5,29
Escriturário	clerk	6,00	1,00	5	12	2,70	36	1,56		
Escrivaninha	writing desk	3,52	1,17	5	12	2,55	52	1,72		
Esferográfica	ballpoint pen	3,76	1,30	6	13	1,63	45	1,65		
Espada	sword	2,82	0,89	3	6	1,37	393	2,59		
Espadarte	swordfish	5,81	1,63	4	9	2,34				
Espanto	amazement	4,30	1,16	3	7	2,87	411	2,61	2,28	3,06
Espargo	asparagus	5,38	1,50	3	7	3,50	32	1,51	6,50	5,23
Esparguete	spaghetti	2,48	1,08	4	10	2,10	11	1,04		
Espectro	specter	6,29	0,96	3	8	3,23	242	2,38	3,58	3,37
Espelho	mirror	2,05	0,67	3	7	1,55	762	2,88		
Esperança	hope	4,13	0,89	4	9	3,17	1562	3,19	1,70	2,60
Espinafre	spinach	2,90	1,37	4	9	2,45	71	1,85		
Espingarda	rifle	4,39	1,66	4	10	1,53	196	2,29		
Esponja	sponge	2,40	0,99	3	7	1,84	64	1,81		
Esquilo	squirrel	3,09	0,86	3	7	1,37	11	1,04	6,76	6,60
Estante 	bookcase	3,57	1,12	3	8	2,60	174	2,24	6,58	6,04
Estilo	style	4,68	1,18	3	6	3,33	1519	3,18	2,46	2,60
Estorninho	starling	6,68	1,36	4	10	4,26	7	0,85		
Estudante	student	3,61	0,92	4	9	1,50	1629	3,21		
Esturjão	sturgeon	7,14	0,62	3	8	3,79	11	1,04		
Faca	knife	1,96	0,63	2	4	1,12	432	2,64	6,82	6,58
Fagote	bassoon	6,74	1,65	3	6	4,63	17	1,23		
Faisão	pheasant	4,64	1,40	2	6	3,45	19	1,28		
Falcão	falcon	4,36	1,35	2	6	3,20	53	1,72		
Família	family	2,00	0,63	3	7		5442	3,74		
Faneca	pout	6,10	1,51	3	6	3,63	17	1,23		
Fantasma	ghost	2,55	0,93	3	8	2,37	350	2,54	2,80	4,69
Farmacêutico	pharmacist	4,48	1,40	5	12	1,90	129	2,11		
Favas	broad beans	3,04	1,20	2	5	2,40	101	2,00		
Feijão	bean	2,70	1,15	2	6	2,35	242	2,38		
Felicidade	happiness	3,52	0,93	5	10	2,90	628	2,80	1,72	3,23
Feriado	holiday	3,32	0,73	3	7	2,43	146	2,16	3,62	2,81
Ferramenta	tool	3,38	1,20	4	10	2,20	439	2,64		
Festa	party	1,90	0,62	2	5	1,80	2204	3,34		
Figo	fig	2,81	0,93	2	4	2,05	80	1,90		
Flamingo	flamingo	4,38	1,42	3	8	3,10	10	1,00		
Flauta	flute	3,57	1,33	2	6	1,42	106	2,03		
Flecha	arrow	3,52	0,81	2	6	2,05	127	2,10		
Flores	flowers	1,91	0,67	2	6	1,85	1544	3,19		
Foca	seal	2,35	0,98	2	4	1,95	29	1,46		
Fogão	stove	2,35	0,73	2	5	1,26	173	2,24		
Fogo	fire	2,22	0,90	2	4	1,57	1822	3,26	5,88	6,21
Foguetão	rocket	2,90	1,18	2	8	2,10	71	1,85	6,44	5,92
Fome	hunger	1,96	1,16	2	4		907	2,96		
Formão	chisel	6,86	1,68	2	6	4,78	20	1,30		
Formiga	ant	1,91	0,70	3	7	1,84	109	2,04		
Fotografia	photograph	2,52	0,93	4	10	2,10	1268	3,10		
Frasco	jar	2,41	0,67	2	6	1,74	198	2,30		
Frase	sentence	2,95	0,86	2	5	2,10	1074	3,03	3,90	3,17
Freira	nun	3,17	1,14	2	6	1,70	134	2,13	5,64	5,98
Frigideira	frying pan	3,24	0,83	4	10	1,58	152	2,18		
Frigorífico	refrigerator	2,43	0,81	5	11	1,47	225	2,35		
Fritadeira	deep fryer	4,14	1,15	4	10	1,68				
Fruta	fruit	1,73	0,70	2	5	2,00	464	2,67		
Funil	funnel	2,90	0,94	2	5	1,47	24	1,38		
Furgão	freight car	6,74	1,76	2	6	3,94	7	0,85		
