var,adjusted r,adjusted r-squared,r-squared,r,language,dim,window,algo,dataset,data_source
unigram_freq,0.0305838788274097,0.00093537364412968,0.00333981837039549,0.057791161697923,af,300,1,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.217226102876497,0.0471871797709106,0.0423949845478732,0.20590042386521,af,300,1,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0331045701496076,0.00109591256479029,0.00391303404709403,0.062554248833265,af,300,1,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.295982048189862,0.087605372850666,0.0787084213624533,0.28055021183819,af,300,2,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0383536239187149,0.00147100046769822,0.00525231218103228,0.0724728375395381,af,300,2,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.232841532596426,0.0542151793018524,0.0487092405166187,0.220701700302963,af,300,2,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0335580839928099,0.00112614500126848,0.0040209811197589,0.0634112065786396,af,300,2,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.29749830719336,0.0885052427829148,0.0795169030741808,0.281987416517441,af,300,3,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.033475670630648,0.00112062052417163,0.00400125557990572,0.0632554786552573,af,300,3,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.228367827890733,0.0521518648155316,0.0468554703572311,0.216461244469376,af,300,3,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0360495911424695,0.00129957302153922,0.00464021824673661,0.0681191474310755,af,300,3,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.280750200553516,0.0788206751108395,0.0708158724382373,0.26611251837942,af,300,4,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0397933753164081,0.00158351271907252,0.00565404520653789,0.0751933853908567,af,300,4,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.247424323936175,0.0612187960752734,0.0550015899710663,0.234524177796376,af,300,4,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0392390472049057,0.00153970282554882,0.00549761885423067,0.074145929451526,af,300,4,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.285222234700765,0.081351723167698,0.0730898744824661,0.270351390753712,af,300,5,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0304782414683693,0.000928923203004228,0.00331678660987589,0.0575915498131096,af,300,5,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.238176835008821,0.0567282047348189,0.05096705026317,0.225758832082313,af,300,5,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0348182993041448,0.00121231396643301,0.00432865356126993,0.0657925038379749,af,300,5,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.301920408420367,0.0911559330207215,0.0818983967811281,0.28617895936132,af,300,6,cbow,dedup.af.words.unigrams.tsv,Subtitles
